participant,similarity,Correct_Session1_relatedlure,Correct_Session1_unrelatedlure,Correct_Session2_relatedlure,Correct_Session2_unrelatedlure,Incorrect_Session1_relatedlure,Incorrect_Session1_unrelatedlure,Incorrect_Session2_relatedlure,Incorrect_Session2_unrelatedlure,Session1_D-primes ,Session2_D-primes ,,,
P1,different,0.444444444,0.444444444,1,1,0.555555556,0.555555556,0,0,0,0,,Correct = 'New' response,
P10,different,0.777777778,0.666666667,0.555555556,1,0.222222222,0.333333333,0.444444444,0,-0.333982374,1.453508519,,Incorrect = 'Old' response,
P11,different,0.111111111,0.666666667,0.222222222,0.888888889,0.888888889,0.333333333,0.777777778,0.111111111,1.651367648,1.985350023,,D-prime calculations:,
P112,different,0.111111111,0.888888889,0.111111111,0.666666667,0.888888889,0.111111111,0.888888889,0.333333333,2.441280698,1.651367648,,"Hits = false alarm to related lure, FA = false alarms to unrelated lures",
P113,different,0,1,0.333333333,1,1,0,0.666666667,0,3.186437636,2.023946117,,replace 0,0.055555556
P115,different,0.222222222,0.555555556,0.222222222,0.777777778,0.777777778,0.444444444,0.777777778,0.222222222,0.904419973,1.529419348,,replace 1,0.944444444
P116,different,0.333333333,0.888888889,0.888888889,1,0.666666667,0.111111111,0.111111111,0,1.651367648,0.372578469,,,
P12,different,0.111111111,0.444444444,0.111111111,0.888888889,0.888888889,0.555555556,0.888888889,0.111111111,1.08093005,2.441280698,,,
P123,different,0.222222222,0.777777778,0.111111111,0.222222222,0.777777778,0.222222222,0.888888889,0.777777778,1.529419348,0.455930675,,,
P124,different,0.111111111,0.666666667,0,0.555555556,0.888888889,0.333333333,1,0.444444444,1.651367648,1.732929117,,,
P125,different,0.777777778,0.888888889,0.444444444,0.555555556,0.222222222,0.111111111,0.555555556,0.444444444,0.455930675,0.279420598,,,
P127,different,0.111111111,0.777777778,0,1,0.888888889,0.222222222,1,0,1.985350023,3.186437636,,,
P129,different,0.333333333,0.777777778,0.111111111,0.888888889,0.666666667,0.222222222,0.888888889,0.111111111,1.195436973,2.441280698,,,
P13,different,0.666666667,0.333333333,0.444444444,0.555555556,0.333333333,0.666666667,0.555555556,0.444444444,-0.861454599,0.279420598,,,
P130,different,0.222222222,0.666666667,0.222222222,0.333333333,0.777777778,0.333333333,0.777777778,0.666666667,1.195436973,0.333982374,,,
P131,different,0.222222222,0.555555556,0.222222222,0.888888889,0.777777778,0.444444444,0.777777778,0.111111111,0.904419973,1.985350023,,,
P133,different,0.444444444,0.444444444,0.666666667,0.555555556,0.555555556,0.555555556,0.333333333,0.444444444,0,-0.291017,,,
P134,different,0,0,0,0,1,1,1,1,0,0,,,
P135,different,0.444444444,0.888888889,0.333333333,1,0.555555556,0.111111111,0.666666667,0,1.360350648,2.023946117,,,
P136,different,0,0.777777778,0.111111111,0.222222222,1,0.222222222,0.888888889,0.777777778,2.357928492,0.455930675,,,
P141,different,0.111111111,0.888888889,0,0.888888889,0.888888889,0.111111111,1,0.111111111,2.441280698,2.813859167,,,
P142,different,0,0.888888889,0.555555556,0.666666667,1,0.111111111,0.444444444,0.333333333,2.813859167,0.291017,,,
P143,different,0.444444444,0.444444444,0.333333333,0.666666667,0.555555556,0.555555556,0.666666667,0.333333333,0,0.861454599,,,
P145,different,0.333333333,0.555555556,0.333333333,0.555555556,0.666666667,0.444444444,0.666666667,0.444444444,0.570437598,0.570437598,,,
P147,different,0.111111111,0.333333333,0.111111111,0.666666667,0.888888889,0.666666667,0.888888889,0.333333333,0.78991305,1.651367648,,,
P148,different,0.111111111,1,0.666666667,0.555555556,0.888888889,0,0.333333333,0.444444444,2.813859167,-0.291017,,,
P150,different,0.111111111,0.777777778,0.222222222,0.555555556,0.888888889,0.222222222,0.777777778,0.444444444,1.985350023,0.904419973,,,
P155,different,0,1,0.222222222,1,1,0,0.777777778,0,3.186437636,2.357928492,,,
P19,different,0.444444444,1,0.555555556,1,0.555555556,0,0.444444444,0,1.732929117,1.453508519,,,
P2,different,0,0.888888889,0.222222222,1,1,0.111111111,0.777777778,0,2.813859167,2.357928492,,,
P21,different,0,0.888888889,0,1,1,0.111111111,1,0,2.813859167,3.186437636,,,
P22,different,0.111111111,0.444444444,0,0.666666667,0.888888889,0.555555556,1,0.333333333,1.08093005,2.023946117,,,
P24,different,0,0.888888889,0.333333333,0.777777778,1,0.111111111,0.666666667,0.222222222,2.813859167,1.195436973,,,
P25,different,0.222222222,0.777777778,0.555555556,0.333333333,0.777777778,0.222222222,0.444444444,0.666666667,1.529419348,-0.570437598,,,
P26,different,0.333333333,0.444444444,0.222222222,0.444444444,0.666666667,0.555555556,0.777777778,0.555555556,0.291017,0.624999375,,,
P27,different,0.888888889,0.222222222,0.888888889,0,0.111111111,0.777777778,0.111111111,1,-1.985350023,-2.813859167,,,
P28,different,0,1,0,0.666666667,1,0,1,0.333333333,3.186437636,2.023946117,,,
P29,different,1,0.222222222,0.111111111,0.555555556,0,0.777777778,0.888888889,0.444444444,-2.357928492,1.360350648,,,
P30,different,0.333333333,0.666666667,0.555555556,0.555555556,0.666666667,0.333333333,0.444444444,0.444444444,0.861454599,0,,,
P31,different,0.111111111,0.888888889,0,0.555555556,0.888888889,0.111111111,1,0.444444444,2.441280698,1.732929117,,,
P32,different,0.111111111,0.777777778,0.333333333,0.444444444,0.888888889,0.222222222,0.666666667,0.555555556,1.985350023,0.291017,,,
P33,different,0.777777778,0.111111111,0,0.777777778,0.222222222,0.888888889,1,0.222222222,-1.985350023,2.357928492,,,
P35,different,0.888888889,0,0.222222222,0.888888889,0.111111111,1,0.777777778,0.111111111,-2.813859167,1.985350023,,,
P36,different,0.222222222,0.888888889,0,0.888888889,0.777777778,0.111111111,1,0.111111111,1.985350023,2.813859167,,,
P37,different,0,0.333333333,0.111111111,0.777777778,1,0.666666667,0.888888889,0.222222222,1.162491519,1.985350023,,,
P38,different,0.333333333,0.777777778,0,1,0.666666667,0.222222222,1,0,1.195436973,3.186437636,,,
P39,different,0.444444444,0,0.777777778,0.888888889,0.555555556,1,0.222222222,0.111111111,-1.453508519,0.455930675,,,
P4,different,0.666666667,0,0.222222222,0.666666667,0.333333333,1,0.777777778,0.333333333,-2.023946117,1.195436973,,,
P40,different,0.888888889,0.777777778,0.111111111,0.222222222,0.111111111,0.222222222,0.888888889,0.777777778,-0.455930675,0.455930675,,,
P42,different,0,1,0.444444444,1,1,0,0.555555556,0,3.186437636,1.732929117,,,
P45,different,0,1,0.111111111,0.888888889,1,0,0.888888889,0.111111111,3.186437636,2.441280698,,,
P47,different,0,0.666666667,0.222222222,0.666666667,1,0.333333333,0.777777778,0.333333333,2.023946117,1.195436973,,,
P49,different,0,1,0.111111111,0.777777778,1,0,0.888888889,0.222222222,3.186437636,1.985350023,,,
P50,different,0.444444444,0.333333333,0.444444444,0.555555556,0.555555556,0.666666667,0.555555556,0.444444444,-0.291017,0.279420598,,,
P51,different,0.555555556,0.555555556,0.333333333,0.888888889,0.444444444,0.444444444,0.666666667,0.111111111,0,1.651367648,,,
P52,different,0,0.888888889,0.111111111,0.333333333,1,0.111111111,0.888888889,0.666666667,2.813859167,0.78991305,,,
P53,different,0,0.888888889,0,1,1,0.111111111,1,0,2.813859167,3.186437636,,,
P54,different,0.222222222,0.888888889,0,1,0.777777778,0.111111111,1,0,1.985350023,3.186437636,,,
P55,different,0.333333333,0.888888889,0.555555556,0.888888889,0.666666667,0.111111111,0.444444444,0.111111111,1.651367648,1.08093005,,,
P56,different,0.444444444,0.222222222,0.666666667,0.444444444,0.555555556,0.777777778,0.333333333,0.555555556,-0.624999375,-0.570437598,,,
P57,different,0.777777778,0,0.222222222,1,0.222222222,1,0.777777778,0,-2.357928492,2.357928492,,,
P6,different,0.222222222,0.555555556,0.111111111,0.222222222,0.777777778,0.444444444,0.888888889,0.777777778,0.904419973,0.455930675,,,
P66,different,0,0.333333333,0,0.555555556,1,0.666666667,1,0.444444444,1.162491519,1.732929117,,,
P67,different,0.444444444,1,0.777777778,1,0.555555556,0,0.222222222,0,1.732929117,0.828509144,,,
P68,different,0,0.333333333,0.333333333,0.222222222,1,0.666666667,0.666666667,0.777777778,1.162491519,-0.333982374,,,
P71,different,0,0.222222222,0.222222222,0.333333333,1,0.777777778,0.777777778,0.666666667,0.828509144,0.333982374,,,
P72,different,0.111111111,1,0.444444444,0.777777778,0.888888889,0,0.555555556,0.222222222,2.813859167,0.904419973,,,
P75,different,0.333333333,0.777777778,0.444444444,1,0.666666667,0.222222222,0.555555556,0,1.195436973,1.732929117,,,
P78,different,0.222222222,0.666666667,0.222222222,0.222222222,0.777777778,0.333333333,0.777777778,0.777777778,1.195436973,0,,,
P79,different,0.444444444,0.666666667,0.555555556,0.777777778,0.555555556,0.333333333,0.444444444,0.222222222,0.570437598,0.624999375,,,
P8,different,0.222222222,0.777777778,0.111111111,0.777777778,0.777777778,0.222222222,0.888888889,0.222222222,1.529419348,1.985350023,,,
P80,different,0.333333333,0.555555556,0,0.111111111,0.666666667,0.444444444,1,0.888888889,0.570437598,0.372578469,,,
P81,different,0.111111111,0.888888889,0.111111111,0.888888889,0.888888889,0.111111111,0.888888889,0.111111111,2.441280698,2.441280698,,,
P83,different,0.111111111,0.777777778,0.111111111,0.777777778,0.888888889,0.222222222,0.888888889,0.222222222,1.985350023,1.985350023,,,
P85,different,0.111111111,0.888888889,0.444444444,0.888888889,0.888888889,0.111111111,0.555555556,0.111111111,2.441280698,1.360350648,,,
P9,different,0,0.777777778,0.444444444,0.888888889,1,0.222222222,0.555555556,0.111111111,2.357928492,1.360350648,,,
P93,different,0.111111111,0.555555556,0.111111111,0.666666667,0.888888889,0.444444444,0.888888889,0.333333333,1.360350648,1.651367648,,,
P96,different,0.444444444,0.555555556,0.111111111,0.444444444,0.555555556,0.444444444,0.888888889,0.555555556,0.279420598,1.08093005,,,
P97,different,0.444444444,1,0.444444444,1,0.555555556,0,0.555555556,0,1.732929117,1.732929117,,,
P98,different,0,0.777777778,0,0.888888889,1,0.222222222,1,0.111111111,2.357928492,2.813859167,,,
P100,same,0,0.777777778,0,0.444444444,1,0.222222222,1,0.555555556,2.357928492,1.453508519,,,
P101,same,0,0.888888889,0.111111111,0.666666667,1,0.111111111,0.888888889,0.333333333,2.813859167,1.651367648,,,
P102,same,0,0.666666667,0,0.888888889,1,0.333333333,1,0.111111111,2.023946117,2.813859167,,,
P103,same,0.333333333,0.222222222,0.333333333,0.333333333,0.666666667,0.777777778,0.666666667,0.666666667,-0.333982374,0,,,
P104,same,0.222222222,0.222222222,0.333333333,0.555555556,0.777777778,0.777777778,0.666666667,0.444444444,0,0.570437598,,,
P105,same,0,0.888888889,0,0.777777778,1,0.111111111,1,0.222222222,2.813859167,2.357928492,,,
P106,same,0,0.333333333,0.222222222,0.666666667,1,0.666666667,0.777777778,0.333333333,1.162491519,1.195436973,,,
P107,same,0.111111111,0.555555556,0.111111111,0.333333333,0.888888889,0.444444444,0.888888889,0.666666667,1.360350648,0.78991305,,,
P108,same,0,1,0,0.888888889,1,0,1,0.111111111,3.186437636,2.813859167,,,
P109,same,0.333333333,0.777777778,0.777777778,1,0.666666667,0.222222222,0.222222222,0,1.195436973,0.828509144,,,
P110,same,0.111111111,0.777777778,0.333333333,0.777777778,0.888888889,0.222222222,0.666666667,0.222222222,1.985350023,1.195436973,,,
P111,same,0.111111111,0.777777778,0,0.333333333,0.888888889,0.222222222,1,0.666666667,1.985350023,1.162491519,,,
P114,same,0.555555556,0.888888889,0.555555556,0.333333333,0.444444444,0.111111111,0.444444444,0.666666667,1.08093005,-0.570437598,,,
P117,same,0.111111111,1,0.222222222,1,0.888888889,0,0.777777778,0,2.813859167,2.357928492,,,
P118,same,0.222222222,0.666666667,0.222222222,0.555555556,0.777777778,0.333333333,0.777777778,0.444444444,1.195436973,0.904419973,,,
P119,same,0,0.555555556,0.444444444,0.333333333,1,0.444444444,0.555555556,0.666666667,1.732929117,-0.291017,,,
P120,same,0.222222222,1,0.222222222,1,0.777777778,0,0.777777778,0,2.357928492,2.357928492,,,
P121,same,0.444444444,1,0.666666667,1,0.555555556,0,0.333333333,0,1.732929117,1.162491519,,,
P122,same,0,0.888888889,0.222222222,0.777777778,1,0.111111111,0.777777778,0.222222222,2.813859167,1.529419348,,,
P126,same,0.555555556,0.666666667,0.333333333,0.666666667,0.444444444,0.333333333,0.666666667,0.333333333,0.291017,0.861454599,,,
P128,same,0,1,0,1,1,0,1,0,3.186437636,3.186437636,,,
P132,same,0,1,0,0.777777778,1,0,1,0.222222222,3.186437636,2.357928492,,,
P137,same,0.222222222,0.555555556,0.222222222,0.777777778,0.777777778,0.444444444,0.777777778,0.222222222,0.904419973,1.529419348,,,
P138,same,0.222222222,1,1,1,0.777777778,0,0,0,2.357928492,0,,,
P139,same,0.111111111,0.888888889,0,1,0.888888889,0.111111111,1,0,2.441280698,3.186437636,,,
P14,same,0.222222222,1,0.222222222,0.888888889,0.777777778,0,0.777777778,0.111111111,2.357928492,1.985350023,,,
P140,same,0.555555556,0.555555556,0.111111111,0.888888889,0.444444444,0.444444444,0.888888889,0.111111111,0,2.441280698,,,
P144,same,0,0.888888889,0,1,1,0.111111111,1,0,2.813859167,3.186437636,,,
P146,same,0.111111111,0.555555556,0.666666667,0.888888889,0.888888889,0.444444444,0.333333333,0.111111111,1.360350648,0.78991305,,,
P149,same,0,0.888888889,0,1,1,0.111111111,1,0,2.813859167,3.186437636,,,
P15,same,1,0.111111111,1,0.111111111,0,0.888888889,0,0.888888889,-2.813859167,-2.813859167,,,
P151,same,0.444444444,1,0.111111111,1,0.555555556,0,0.888888889,0,1.732929117,2.813859167,,,
P152,same,0,0.666666667,0,1,1,0.333333333,1,0,2.023946117,3.186437636,,,
P153,same,0,1,0.111111111,0.888888889,1,0,0.888888889,0.111111111,3.186437636,2.441280698,,,
P154,same,0.111111111,0.666666667,0.111111111,0.888888889,0.888888889,0.333333333,0.888888889,0.111111111,1.651367648,2.441280698,,,
P156,same,0.111111111,1,0,0.777777778,0.888888889,0,1,0.222222222,2.813859167,2.357928492,,,
P157,same,0.222222222,0.666666667,0.222222222,0.777777778,0.777777778,0.333333333,0.777777778,0.222222222,1.195436973,1.529419348,,,
P158,same,0.444444444,0.333333333,0.555555556,0.555555556,0.555555556,0.666666667,0.444444444,0.444444444,-0.291017,0,,,
P159,same,0,0.666666667,0.222222222,0.777777778,1,0.333333333,0.777777778,0.222222222,2.023946117,1.529419348,,,
P16,same,0.666666667,0.111111111,0.555555556,0,0.333333333,0.888888889,0.444444444,1,-1.651367648,-1.732929117,,,
P160,same,0.222222222,0.555555556,0.333333333,0.777777778,0.777777778,0.444444444,0.666666667,0.222222222,0.904419973,1.195436973,,,
P17,same,0.222222222,0.333333333,0.444444444,0.111111111,0.777777778,0.666666667,0.555555556,0.888888889,0.333982374,-1.08093005,,,
P18,same,0.555555556,0,0.555555556,0.111111111,0.444444444,1,0.444444444,0.888888889,-1.732929117,-1.360350648,,,
P20,same,0.222222222,1,0.111111111,0.888888889,0.777777778,0,0.888888889,0.111111111,2.357928492,2.441280698,,,
P23,same,0.333333333,1,0,0.777777778,0.666666667,0,1,0.222222222,2.023946117,2.357928492,,,
P3,same,1,0.222222222,0.777777778,0.222222222,0,0.777777778,0.222222222,0.777777778,-2.357928492,-1.529419348,,,
P34,same,0.777777778,0.111111111,0.222222222,0.888888889,0.222222222,0.888888889,0.777777778,0.111111111,-1.985350023,1.985350023,,,
P41,same,0.555555556,0.333333333,0.333333333,0.777777778,0.444444444,0.666666667,0.666666667,0.222222222,-0.570437598,1.195436973,,,
P43,same,0.222222222,0.888888889,0,1,0.777777778,0.111111111,1,0,1.985350023,3.186437636,,,
P44,same,0.111111111,1,0,1,0.888888889,0,1,0,2.813859167,3.186437636,,,
P46,same,0.111111111,0.666666667,0.222222222,0.444444444,0.888888889,0.333333333,0.777777778,0.555555556,1.651367648,0.624999375,,,
P48,same,0.666666667,0.777777778,0.555555556,0.666666667,0.333333333,0.222222222,0.444444444,0.333333333,0.333982374,0.291017,,,
P5,same,0.333333333,0.666666667,0.222222222,0.888888889,0.666666667,0.333333333,0.777777778,0.111111111,0.861454599,1.985350023,,,
P58,same,0.444444444,1,0.222222222,1,0.555555556,0,0.777777778,0,1.732929117,2.357928492,,,
P59,same,0.222222222,0.888888889,0,1,0.777777778,0.111111111,1,0,1.985350023,3.186437636,,,
P60,same,0,1,0.333333333,1,1,0,0.666666667,0,3.186437636,2.023946117,,,
P61,same,0.555555556,0.777777778,0.222222222,0.666666667,0.444444444,0.222222222,0.777777778,0.333333333,0.624999375,1.195436973,,,
P62,same,0.555555556,0.555555556,0.222222222,0.888888889,0.444444444,0.444444444,0.777777778,0.111111111,0,1.985350023,,,
P63,same,0.111111111,0.777777778,0,0.777777778,0.888888889,0.222222222,1,0.222222222,1.985350023,2.357928492,,,
P64,same,0.777777778,0.444444444,0.333333333,0.111111111,0.222222222,0.555555556,0.666666667,0.888888889,-0.904419973,-0.78991305,,,
P65,same,0.222222222,0.888888889,0.555555556,0.555555556,0.777777778,0.111111111,0.444444444,0.444444444,1.985350023,0,,,
P69,same,0,0.777777778,0,0.666666667,1,0.222222222,1,0.333333333,2.357928492,2.023946117,,,
P7,same,0,1,0,0.888888889,1,0,1,0.111111111,3.186437636,2.813859167,,,
P70,same,0.111111111,0.666666667,0,0.333333333,0.888888889,0.333333333,1,0.666666667,1.651367648,1.162491519,,,
P73,same,0.444444444,0.666666667,0.444444444,0.333333333,0.555555556,0.333333333,0.555555556,0.666666667,0.570437598,-0.291017,,,
P74,same,0.222222222,0.666666667,0.111111111,0.444444444,0.777777778,0.333333333,0.888888889,0.555555556,1.195436973,1.08093005,,,
P76,same,0.222222222,0.777777778,0.444444444,0.666666667,0.777777778,0.222222222,0.555555556,0.333333333,1.529419348,0.570437598,,,
P77,same,0.111111111,0.222222222,0.222222222,0.666666667,0.888888889,0.777777778,0.777777778,0.333333333,0.455930675,1.195436973,,,
P82,same,0.111111111,0.777777778,0.111111111,1,0.888888889,0.222222222,0.888888889,0,1.985350023,2.813859167,,,
P84,same,0.111111111,0.777777778,0,0.777777778,0.888888889,0.222222222,1,0.222222222,1.985350023,2.357928492,,,
P86,same,0,1,0.222222222,1,1,0,0.777777778,0,3.186437636,2.357928492,,,
P87,same,0.222222222,0.888888889,0.111111111,0.888888889,0.777777778,0.111111111,0.888888889,0.111111111,1.985350023,2.441280698,,,
P88,same,0.222222222,0.888888889,0.222222222,0.444444444,0.777777778,0.111111111,0.777777778,0.555555556,1.985350023,0.624999375,,,
P89,same,0,0.777777778,0.111111111,0.888888889,1,0.222222222,0.888888889,0.111111111,2.357928492,2.441280698,,,
P90,same,0,1,0.111111111,1,1,0,0.888888889,0,3.186437636,2.813859167,,,
P91,same,0.222222222,1,0.333333333,0.888888889,0.777777778,0,0.666666667,0.111111111,2.357928492,1.651367648,,,
P92,same,0,0.888888889,0,1,1,0.111111111,1,0,2.813859167,3.186437636,,,
P94,same,0.444444444,1,0.222222222,0.555555556,0.555555556,0,0.777777778,0.444444444,1.732929117,0.904419973,,,
P95,same,0.444444444,0.888888889,0.111111111,0.888888889,0.555555556,0.111111111,0.888888889,0.111111111,1.360350648,2.441280698,,,
P99,same,0.222222222,0.888888889,0,0.666666667,0.777777778,0.111111111,1,0.333333333,1.985350023,2.023946117,,,
