participant,similarity,session1_incongruent,session1_responsecongruent,session1_stimuluscongruent,session2_incongruent,session2_responsecongruent,session2_stimuluscongruent
T103,different,572.483871,507.25,478,573.875,530.0645161,501.53125
T105,different,536.7777778,474.3225806,474.34375,575.5357143,658.1875,557.2333333
T109,different,524.4333333,468.1875,472.75,524.1428571,464.5,502.2333333
T111,different,739.4137931,642.125,639.516129,662.3225806,606.2903226,556.1
T112,different,559.2307692,522.0967742,482.46875,526.6666667,476.375,475.1875
T116,different,791.4666667,731.3225806,694.6206897,872.0909091,864.1111111,904.08
T117,different,627.4666667,572.65625,604.8125,714.8965517,684.28125,682.53125
T12,different,981.68,1029.074074,884.7037037,848.4782609,924.7333333,908.4642857
T120,different,574.09375,561.375,527.34375,570.9666667,536.0645161,535
T126,different,538.3333333,560.6428571,491.9032258,537.7333333,510.9032258,484.4516129
T127,different,553.4193548,526.4,526.2903226,914.1428571,880.0344828,883.3793103
T13,different,553.25,544.3125,480.40625,607.5862069,537.90625,534.125
T131,different,623.2903226,698.5,600.7096774,571.8888889,561.3333333,504.6785714
T137,different,432.6923077,461.28,398.3703704,581.4193548,499.1875,542.8709677
T138,different,675.7096774,627.2333333,614.4516129,630.7419355,629.8709677,617.7741935
T14,different,834.9666667,743.1612903,714.59375,855.516129,758.3225806,687.2903226
T141,different,457.3103448,413.28125,421.5483871,502.6666667,423.71875,456.625
T144,different,621.9677419,576.7096774,615.28125,593.7333333,543,520.3548387
T147,different,758.125,692.5483871,603.125,771.3103448,732.96875,721.03125
T156,different,548.2,503.625,488,456.1333333,427.625,401.21875
T16,different,683.7419355,564.25,574.5172414,490.7,439.96875,420.0322581
T161,different,473.75,471.84375,428.375,487.5,461.21875,439.2580645
T166,different,600.21875,562.3870968,575.5806452,519.2903226,485.75,471.09375
T170,different,574.875,545.375,504.375,513.1785714,458.9375,465.59375
T173,different,470.4482759,476.9333333,443.5185185,566.2068966,580.4,548.5555556
T177,different,560.9354839,553.5,546.4375,594.0666667,527.516129,510.46875
T178,different,715.5483871,652.40625,676.0625,587.2333333,536.5666667,528.3225806
T183,different,596.46875,541.6875,507.96875,633.0625,502.96875,525.3333333
T185,different,515.2258065,490.59375,458.90625,517.5483871,500.96875,500.5
T195,different,545.9032258,538.90625,510.5625,593.3870968,567.9354839,551.5625
T2,different,715.125,690.9032258,641.9354839,652.6875,621.516129,589.90625
T20,different,659.9615385,586.8387097,563.3333333,642.2692308,612.2068966,598.3
T201,different,883.65625,832.1290323,825.625,829,705.8064516,752.5483871
T206,different,546.8666667,519.9032258,463.46875,618.2903226,626.4666667,582.7241379
T207,different,730.0645161,656.5333333,599.2,739.1290323,692.625,661.8333333
T212,different,764.71875,723.28125,714.53125,863.6774194,717.28125,743.40625
T217,different,565.9354839,543.6,531.9375,620.375,543.3870968,529.8709677
T219,different,625.5806452,597.375,574.375,573.84375,512.4516129,514.125
T22,different,568.1071429,536.2857143,527.3666667,571.9655172,549.8387097,551.2333333
T224,different,487.3793103,435.625,436.6875,446.3703704,426.1290323,433.34375
T228,different,516.3214286,449.7419355,470.5333333,565.6451613,528.6551724,538.09375
T229,different,572.9655172,533.6774194,550.09375,467.25,435.9354839,402.6875
T240,different,514,476.7741935,457.3846154,531.8518519,460.5357143,428.3666667
T242,different,678.46875,625.0322581,598.03125,593.6,566.125,496.78125
T245,different,574.34375,543.96875,509.5483871,557.8709677,531.9354839,505.375
T250,different,818.9677419,876.4193548,643.2758621,1591.466667,1453.517241,1245.258065
T254,different,378.5714286,356.6,348.5,367.5555556,366.0322581,361.09375
T255,different,545.6,471.09375,510.1612903,499.173913,532,523.2258065
T264,different,635.4482759,693.8,599.3793103,597,571.9666667,522.5625
T27,different,1262.62069,1213.9,989.3548387,642,666.15625,558.3
T271,different,556.09375,573.40625,524.5625,516.7741935,531.6875,480.8125
T274,different,568.2580645,539.7741935,524.375,563.6774194,557.71875,483.3870968
T275,different,551.8333333,539.1935484,459.2580645,603.1333333,557.9032258,542.625
T278,different,455.3214286,449.516129,414.9032258,550.4666667,528.1785714,542.1333333
T28,different,570.1290323,595.3225806,549.2258065,613.2903226,540.09375,540.0344828
T280,different,1176.62963,1178.25,1140.375,934.9655172,884.5,883.1
T3,different,641,529,550.9285714,702.9354839,649.0645161,668.1
T31,different,663.09375,640.8709677,612.4193548,662.0333333,632.7419355,624.90625
T332,different,512.75,517.3870968,473.1,510.7333333,499.7096774,513.3214286
T346,different,525.8965517,464.53125,469.4375,726.8275862,1174.129032,634.3448276
T360,different,641.6666667,561.125,520.375,637.8888889,467.03125,489.4516129
T362,different,617.6551724,592.2,584.8064516,639.8333333,621.125,542.2903226
T363,different,548.5625,510.90625,521.1,599.3666667,547.34375,554.5
T381,different,653.9666667,747,654.2580645,964.1,1162.482759,1121.65625
T387,different,531.4333333,474.03125,470.2580645,416.1290323,376.28125,376
T44,different,451,435.8333333,412.6774194,450.1923077,431.4642857,429.483871
T46,different,726.2580645,664.125,664.1875,775.9032258,709.4516129,668.0625
T49,different,663.0714286,587,603.3,644.4375,590.8333333,517.2068966
T58,different,623.2758621,565.5666667,548.1290323,593.6296296,520.9354839,537.3076923
T62,different,516.9655172,458.7096774,436.3,605.5185185,581,583.40625
T63,different,619.65625,588.84375,596.28125,619.6774194,590.8709677,554.7666667
T68,different,550.8148148,516.2903226,488.5666667,664,640.88,648.1333333
T71,different,716.0967742,668.84375,618.3225806,678.8666667,647.5625,625.40625
T72,different,453.96875,457.1875,429.8709677,522.5806452,458.3666667,452.5483871
T74,different,801.1935484,651.8125,596.1666667,597.03125,577.59375,480.25
T76,different,661.862069,619.4333333,662.7,685.6129032,671.90625,630.21875
T78,different,623.53125,632.9375,598.6774194,477.4193548,453.6774194,422.2258065
T81,different,594.3333333,545.8064516,580.7741935,714.6666667,657.4666667,679.1612903
T9,different,668.9583333,539.7037037,615.8,433.3333333,417.7741935,428.5483871
T97,different,554.7096774,527.875,500.875,620.0625,596.9354839,587.21875
T107,same,1600.387097,1651.5,1527.566667,1592.931034,1466.83871,1380.4375
T118,same,601.2142857,551.5806452,512.3125,535.862069,500.71875,519.3928571
T119,same,576.3333333,596.6896552,607.7037037,566.7,570.34375,534.6875
T124,same,600.0322581,611.0333333,605.3333333,724.3333333,744.8928571,683.3793103
T133,same,470.7037037,445.6774194,399.34375,535.7,478.8666667,485.7419355
T134,same,666.2068966,686.8965517,625.6,552.3214286,494.71875,467.1333333
T136,same,593.3125,597.65625,510.46875,564.6875,530.1935484,516.4375
T140,same,453.7931034,463.09375,399.2142857,458.7407407,416.7741935,402.1666667
T146,same,528.3928571,443.7419355,483.6,516.1071429,516.8709677,513.5625
T154,same,558.862069,507.8709677,516.2258065,529.9655172,548.2580645,512
T163,same,595.125,537.3225806,533.3,615.2333333,602.3548387,542.15625
T172,same,446.25,461.2666667,417.125,496.28,448.1290323,428.4516129
T174,same,383.1612903,365.15625,350.8709677,370.7096774,360.375,342.6875
T176,same,442.1,386.5483871,385.5483871,450.4642857,396.4333333,406.8709677
T18,same,612.6071429,568.6129032,607.6875,567.96875,507.5666667,522.8
T180,same,475.28125,461.9375,407.6451613,453.7241379,446.5666667,456.8387097
T188,same,696.3225806,676.5625,663.40625,677.2258065,608.4193548,585.9354839
T191,same,594.5714286,503.1666667,461.9032258,488.7307692,461.375,431.1875
T193,same,626.7586207,531.0645161,496.4,547.1481481,521.6875,499.3225806
T194,same,1044.16129,934.0689655,1063.09375,997.516129,923.9,919.6666667
T200,same,1394.483871,904.84375,1044.833333,838.8709677,793.84375,926.6896552
T213,same,539.1333333,512.75,537.2580645,561.4482759,536,508.516129
T218,same,711.7857143,665.3,634.5806452,652.5,591.1875,544.483871
T220,same,554.84375,514.7419355,459.5806452,554.0666667,524.25,484.09375
T221,same,615.0967742,567.875,552.75,640.4666667,587.1875,555.15625
T227,same,676.5,545.125,537.8387097,956.40625,1014.225806,905.0322581
T230,same,642.46875,567.09375,524,499.7,502.53125,460.7419355
T232,same,473.28125,431.15625,453.53125,464.84375,445.0645161,428.7741935
T236,same,1327.241379,1069.65625,975.5,1325.555556,924.5806452,1317.607143
T237,same,614.7241379,571.78125,571.1875,638.5806452,593.375,574.71875
T238,same,579.0645161,552.40625,528.6129032,619.3548387,597.125,573.0967742
T241,same,533.5,462.78125,452.84375,616.1111111,494.09375,494.7096774
T243,same,649.6296296,555.1875,517.9354839,620.4193548,528.84375,512.1612903
T25,same,1446.96875,1441.366667,1371.9,467.1666667,423.78125,429.4375
T256,same,594.53125,576.3666667,527.9677419,552.2666667,529.625,511.6774194
T260,same,639.3125,660.7741935,622.09375,580.3870968,519.21875,547.6451613
T265,same,572.2666667,587.9354839,543.1666667,570.1724138,526.5862069,457.5517241
T269,same,564.6451613,574.1875,522.1034483,562.3,546.516129,522.625
T272,same,577.875,532.53125,544.5,504.0322581,445.9354839,477.25
T277,same,558.7241379,505.25,489.7,611.5,564.1612903,568.28125
T30,same,614.1428571,586.8214286,550.96875,585.4193548,539.8064516,551.6333333
T300,same,884.71875,814.71875,784.21875,754.65625,674.3125,640.75
T302,same,718.6206897,647.1851852,647.0333333,745.5666667,676.7241379,676.3571429
T303,same,528.5862069,477.75,443.84375,531.8064516,472.03125,467.28125
T312,same,700.1666667,666,755.9375,559.7741935,471.59375,490.125
T317,same,873.7,814.9677419,648.8965517,882.3870968,956.875,752.9333333
T324,same,676.3333333,613.1333333,616.65625,606.2333333,530.1666667,585.483871
T326,same,783.8125,721.1612903,691.4,690.8,640.7333333,652.0625
T335,same,582.25,535.0322581,511.7586207,688.6451613,578.46875,633.78125
T336,same,575.0322581,564.875,546.65625,664.59375,643.1612903,634.5483871
T339,same,624.6129032,596.7096774,599.5517241,520.5517241,481.7419355,473.7931034
T344,same,521.75,492.3548387,468.15625,548.3461538,487.65625,489
T356,same,520.1851852,446.1333333,459.5,506.2222222,446.15625,453.0689655
T36,same,545.1851852,509.9032258,498.5714286,532.72,466.2758621,436.0689655
T364,same,780.7857143,721.9375,692.40625,738,691.78125,605
T365,same,658.5,582.59375,546.25,572.7741935,552.9,563.40625
T373,same,608.6206897,570.3571429,549.4375,693.6,653.53125,611.0357143
T374,same,855.2333333,779.9677419,859.4285714,760.7407407,861.65625,737.3333333
T376,same,444.9230769,426.5517241,431.1290323,452.4827586,423.9333333,417.6774194
T4,same,556.8571429,542.5862069,530.8,521.0344828,553.9285714,488.1538462
T41,same,508.1666667,510.1666667,486.1612903,521.9259259,478.8571429,488.25
T45,same,546.6774194,531.9677419,512.7419355,471.0333333,453.96875,437.90625
T5,same,921.96875,967.8125,948.90625,782.5,776.7096774,781.59375
T50,same,455.5714286,382.3333333,387.2068966,479.9166667,418.1851852,423.5862069
T51,same,832.8148148,759.2758621,777.4827586,861.5625,952.53125,1107.2
T52,same,512.15625,482.0333333,474.34375,515.0322581,473.9032258,470.40625
T54,same,497.7666667,454.1935484,474.8709677,505,500.9677419,459.90625
T56,same,636.28125,619.137931,584.2333333,694.0666667,684.9354839,660.3
T57,same,514.6071429,457.3870968,452.7333333,502.7307692,535.8064516,451.1724138
T6,same,696.4285714,642.5806452,728.7333333,1162.967742,977.8709677,930.483871
T67,same,528.7741935,507.84375,459.2258065,478.3,461.25,460.7741935
T69,same,488.516129,474.875,460.2580645,443.1875,429.125,409.2
T70,same,662.1935484,644.5625,622.1935484,569.8666667,568.46875,543.2
T77,same,547.1612903,511.625,488.34375,553.2258065,498.40625,502.1875
T8,same,686.1923077,675.75,635.59375,733.4666667,635.28125,714.65625
T82,same,645.8333333,639.25,613.59375,674.2903226,682.6875,610.6551724
T90,same,678.4193548,557.8125,560,600.4516129,556.7741935,528.1935484
T94,same,464.2903226,479.8709677,459.8125,482.2580645,453.2580645,466.4
T96,same,571.3125,551.28125,521.15625,587.1875,529.1875,508.40625
T99,same,568.875,557.4375,525.0714286,551.375,550.90625,534.2
