participant,similarity,session1_congruent,session1_incongruent,session2_congruent,session2_incongruent
T161,different,423.8695652,450.5,374.5777778,426.5
T162,different,388.9545455,436.525,369.5227273,393.2045455
T163,different,441.6222222,478.0652174,450.2222222,482.0444444
T164,different,521.0714286,488.8478261,475.1818182,486.9777778
T165,different,400.8666667,459.2380952,456.8372093,524.0232558
T166,different,460.8,486.1777778,445.4,467.1086957
T167,different,468.4545455,457.6590909,499.2954545,482.1363636
T168,different,414.5555556,444.5555556,391.6590909,410.6222222
T169,different,427.8888889,490.0454545,538.9090909,617.9090909
T170,different,394.8888889,473.7,418.4418605,446.9318182
T171,different,583.9047619,526.3809524,703.0714286,740
T172,different,348.2272727,357.9767442,323.6,342.627907
T173,different,542.7045455,573.6956522,530.5777778,561.7272727
T174,different,525.5853659,512.3658537,508.3255814,608.1315789
T175,different,528.05,560.3513514,710.3571429,730.4571429
T176,different,362.2666667,417.3809524,380.1777778,380.9782609
T177,different,523.1860465,524.2173913,464.2325581,488.6521739
T178,different,381.3863636,428.1190476,419.7391304,442.7560976
T179,different,386.2,436,395.7111111,416.8409091
T180,different,384.0888889,437.6904762,490.4,506.9302326
T181,different,423.8,436.0666667,395.2888889,430.1666667
T182,different,362.2391304,378.4888889,361.3255814,363.1860465
T183,different,412.3809524,474.7674419,464.5581395,472.452381
T199,different,460.1956522,512.1904762,430.3863636,472.1904762
T200,different,330.7209302,350.7317073,341.255814,382.6744186
T201,different,364.0454545,402.1190476,417.2666667,453.5
T202,different,420.4347826,448.6222222,426.8888889,497.275
T204,different,282.6086957,335.4222222,317.9347826,366.4545455
T205,different,328.1395349,363.6,413.2,426.5681818
T206,different,450.4666667,476.8139535,358.1818182,415.7619048
T207,different,512.5333333,520.2391304,504.3863636,512.2666667
T208,different,418.1666667,461.8043478,415.5555556,440.4651163
T209,different,380.1304348,438.2272727,378.8139535,413.3043478
T210,different,384.5217391,420.8636364,377.5,410.4883721
T211,different,470.4772727,486.1555556,404.3255814,427.8444444
T212,different,423.0232558,406.0666667,366.3333333,395.6818182
T213,different,400.2391304,441,392.0227273,449.1904762
T214,different,345.8888889,346.452381,324.0869565,341.0681818
T215,different,314.3023256,378.7419355,380.6,402.9411765
T216,different,451.1363636,471.5365854,509,546.4090909
T217,different,421.7826087,461.1428571,457.7777778,504.4285714
T233,different,357.3695652,398.8,363.1860465,373.2380952
T234,different,322.5869565,363.547619,597.6756757,687.0882353
T235,different,602.4888889,554.5238095,606.4318182,624.5909091
T236,different,418.673913,455.875,374.2954545,426.1162791
T240,different,467.8,468.1707317,397.5454545,428.2142857
T241,different,412.5909091,457.3333333,547.4,609.9318182
T242,different,420.6511628,443.0222222,439.4418605,469.2727273
T243,different,327.5652174,353.9268293,504.45,519.452381
T244,different,392.0888889,448.4545455,430.8478261,467.5869565
T245,different,352.8888889,366.0930233,336.5909091,367.4651163
T246,different,434.6304348,541.0555556,341.1162791,442.375
T247,different,714.1904762,659.4761905,768.7906977,796.3
T248,different,310.8095238,344.195122,314.3571429,324.3255814
T249,different,386.7272727,453.1162791,430.1086957,434.1136364
T259,different,470.8666667,465.5116279,496.6222222,534.8888889
T260,different,430.6818182,442.2222222,385.5777778,416.9090909
T264,different,427.4,492.7954545,456.4347826,504.8809524
T307,different,382.5333333,481.2619048,443.1956522,506.5853659
T306,different,453.0222222,537.3023256,496.8372093,499.7804878
T276,different,450.2173913,503.326087,378.4130435,402.0217391
T315,different,385.0666667,434.6590909,401.9565217,441.0697674
T308,different,444.0227273,467.7857143,400.7045455,487.2093023
T273,different,442.9767442,488.8571429,445.8604651,478.6888889
T267,different,368.8181818,400.4848485,339.2222222,420.5128205
T274,different,386.25,445.4878049,426.1333333,436.1136364
T277,different,408.1333333,472.3695652,437.5652174,473.1590909
T305,different,400.3111111,439.2444444,370.2380952,403.1777778
T269,different,442.0888889,478,413.7045455,432.2619048
T279,different,498,520.8181818,533.5454545,544.7727273
T281,different,624.2444444,665.9347826,496.5454545,522.627907
T278,different,415.5869565,478.1428571,406.6444444,441.2142857
T282,different,517.6888889,561.8,489.5111111,565.627907
T280,different,374.173913,386.1777778,373.0444444,403.2222222
T283,different,403.6888889,418.8,377.2,410.0217391
T271,different,413.5348837,423.8181818,431.1590909,415.8444444
T275,different,347.5813953,376.547619,330.7391304,358.7317073
T268,different,445.0227273,499.5116279,465.3555556,497.5909091
T272,different,437.673913,456.9130435,447.4888889,482.5227273
T270,different,386.2195122,436.4,388.8809524,404.8888889
T1,same,474.2790698,479.255814,475.7272727,537.3111111
T10,same,418.425,396.1818182,421.8780488,406.9782609
T109,same,338.9130435,361.3636364,340.1555556,390.0666667
T11,same,499.4444444,519.2666667,534.5,565.3555556
T12,same,380.5217391,441.4,370.826087,408.4
T13,same,494,507.0444444,476.0666667,483.9555556
T14,same,428.2666667,503.372093,367.4545455,427.6923077
T15,same,404.4772727,436.6956522,380.4222222,391.673913
T16,same,553.2790698,633.7209302,620.1333333,711.925
T17,same,335.1627907,374.4444444,327.2325581,351.2368421
T18,same,374.8478261,393.5777778,351.8636364,379.2666667
T19,same,318.255814,357.0238095,342.7906977,367.6428571
T2,same,451.3846154,463.0217391,467.1521739,473.0681818
T20,same,577.0652174,637.0697674,587.5333333,612.8444444
T21,same,381.5,419.925,420.2307692,417.4883721
T22,same,428.2666667,438.6956522,341.7173913,371.7954545
T23,same,443.6976744,606.2222222,806.3255814,732.5
T24,same,384.1304348,471.627907,377.8666667,429.5454545
T3,same,523.6666667,563.2619048,644.1162791,636.2954545
T4,same,347.8043478,395.7631579,371.4444444,400.5609756
T49,same,354.5777778,389.8888889,360.2608696,401.4146341
T5,same,425.325,479.2926829,426.7391304,496.4186047
T50,same,358.2272727,420.6666667,373.25,421
T52,same,349.3181818,385.1315789,415.4090909,461.5609756
T53,same,302.9565217,350.3409091,276.9555556,299.55
T54,same,384.6222222,442.5,414.7555556,478.3333333
T55,same,477.2045455,457.6666667,425.8604651,438.1777778
T56,same,408.1590909,431.0222222,439.3777778,462.5581395
T57,same,374.4782609,464.9069767,366.7608696,432.825
T58,same,372.4,383.4358974,347.952381,355.75
T59,same,456.1428571,481.1111111,473.25,540.6666667
T6,same,374.25,406.4883721,367.9767442,406.6976744
T60,same,440.5909091,474.8181818,411.3181818,449.2045455
T61,same,446.326087,490.6,362.3695652,429.9545455
T62,same,398.5909091,426.5813953,402.4883721,427.1162791
T63,same,469.3409091,541.0243902,436.0227273,497.3095238
T7,same,429.4444444,463.6363636,408.0652174,459.0454545
T73,same,356.8222222,389.6046512,439.4347826,457.9534884
T74,same,332.4651163,357.4285714,344.75,376.952381
T75,same,339.8181818,342.4318182,337,356.1777778
T78,same,418.5641026,393.3695652,388.4090909,397.6363636
T79,same,312.3333333,350.7317073,320.3777778,353.8372093
T8,same,478.3043478,554.6136364,376.1363636,418.4651163
T80,same,634.0888889,655.7391304,532.7391304,534.6136364
T85,same,395.5909091,429.0540541,366.7608696,397.7173913
T86,same,356.8478261,377.6363636,328.0697674,351.2608696
T87,same,470.3111111,474.4347826,424.3953488,459.8043478
T88,same,444.6304348,448.7727273,650.2954545,630.1777778
T89,same,454.0681818,473.0232558,404.8888889,467.902439
T9,same,429.2272727,464.1333333,475.9069767,460.6521739
T90,same,336.3695652,398.047619,382.2666667,405.5
T91,same,580.047619,691.8,621.1627907,634.9
T92,same,382.0888889,421.3409091,393.6521739,455.6428571
T93,same,436.0681818,476.5,354.5111111,396.1555556
T94,same,490.1818182,520,511.1363636,503.2608696
T95,same,544.3636364,601.7435897,563.5909091,573.5
T158,same,410.1304348,430.255814,381.2608696,424.2926829
T152,same,410.1904762,418.0465116,386.9347826,413.902439
T148,same,384.8666667,415.0454545,364.0434783,400.1860465
T150,same,408.8863636,455.3333333,382.6521739,438.5
T147,same,377.15,428.6585366,461.9047619,507.8372093
T149,same,439.9534884,452.0652174,484.9090909,485.6428571
T151,same,474.1363636,542.825,399.7173913,460.8888889
T117,same,366.2954545,373.627907,375.3863636,388.952381
T116,same,454.0444444,510.627907,463.2173913,577.8372093
T114,same,422.9555556,478.6904762,408.1304348,455.952381
T121,same,375,424.4883721,372.4888889,403.7674419
T126,same,450.4222222,520.4545455,467.1590909,512.3777778
T119,same,424.5652174,458.8913043,424.7111111,425.4883721
T122,same,545.7608696,642.9302326,506.0227273,602.1842105
T118,same,562.775,573.6176471,597.8409091,652.2051282
T127,same,351.8604651,386.475,378.0909091,432.1162791
T115,same,511.2790698,561.4545455,521.3333333,562.2
T113,same,534.3777778,549.8139535,563.9782609,576.5681818
T111,same,363.5111111,396.1818182,383.6444444,391.9512195
T112,same,408.5454545,466.5121951,359,380.8809524
T123,same,362.3863636,388.3658537,358.5,404.3
T120,same,383.9069767,399.8,357.5111111,407.1219512
T125,same,436.3695652,529.6585366,516.5555556,571.2325581
T124,same,364.3863636,411.4772727,378.4666667,412.1162791
